# time = 9.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.19282e-03, 1.49423e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.31210e-03, 1.49423e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.44331e-03, 1.49423e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.58764e-03, 1.49423e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.74640e-03, 1.49423e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.92104e-03, 1.49423e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 2.11314e-03, 1.49422e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 2.32444e-03, 1.49422e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.55688e-03, 1.49422e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 2.81256e-03, 1.49421e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 3.09380e-03, 1.49420e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 3.40316e-03, 1.49419e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 3.74345e-03, 1.49418e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 4.11775e-03, 1.49417e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 4.52948e-03, 1.49415e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 4.98235e-03, 1.49413e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 5.48048e-03, 1.49410e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 6.02840e-03, 1.49407e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 6.63105e-03, 1.49403e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 7.29391e-03, 1.49398e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 8.02296e-03, 1.49391e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 8.82480e-03, 1.49384e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 9.70667e-03, 1.49374e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 1.06765e-02, 1.49363e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 1.17431e-02, 1.49349e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.29159e-02, 1.49331e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.42055e-02, 1.49310e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.56233e-02, 1.49285e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.71821e-02, 1.49254e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.88955e-02, 1.49216e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 2.07786e-02, 1.49170e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 2.28479e-02, 1.49114e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.51212e-02, 1.49045e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 2.76180e-02, 1.48963e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 3.03593e-02, 1.48862e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 3.33679e-02, 1.48741e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 3.66683e-02, 1.48593e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 4.02866e-02, 1.48414e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 4.42505e-02, 1.48197e+01
