# time = 7.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 8.59174e-03, 4.29587e-03, 0.00000e+00, 0.00000e+00
8.59174e-03, 1.80427e-02, 1.33172e-02, 1.12243e-01, 1.18765e+01
1.80427e-02, 2.84387e-02, 2.32407e-02, 1.23139e-01, 1.18448e+01
2.84387e-02, 3.98743e-02, 3.41565e-02, 1.34852e-01, 1.17923e+01
3.98743e-02, 5.24534e-02, 4.61639e-02, 1.47344e-01, 1.17134e+01
5.24534e-02, 6.62905e-02, 5.93720e-02, 1.60529e-01, 1.16014e+01
6.62905e-02, 8.15113e-02, 7.39009e-02, 1.74256e-01, 1.14485e+01
8.15113e-02, 9.82542e-02, 8.98827e-02, 1.88285e-01, 1.12457e+01
9.82542e-02, 1.16671e-01, 1.07463e-01, 2.02269e-01, 1.09826e+01
1.16671e-01, 1.36930e-01, 1.26801e-01, 2.15716e-01, 1.06480e+01
1.36930e-01, 1.59215e-01, 1.48073e-01, 2.27969e-01, 1.02298e+01
1.59215e-01, 1.83728e-01, 1.71472e-01, 2.38176e-01, 9.71620e+00
1.83728e-01, 2.10693e-01, 1.97210e-01, 2.45288e-01, 9.09667e+00
2.10693e-01, 2.40354e-01, 2.25523e-01, 2.48078e-01, 8.36378e+00
2.40354e-01, 2.72981e-01, 2.56667e-01, 2.45217e-01, 7.51574e+00
2.72981e-01, 3.08871e-01, 2.90926e-01, 2.35421e-01, 6.55955e+00
3.08871e-01, 3.48350e-01, 3.28610e-01, 2.17712e-01, 5.51464e+00
3.48350e-01, 3.91776e-01, 3.70063e-01, 1.91785e-01, 4.41629e+00
3.91776e-01, 4.39546e-01, 4.15661e-01, 1.58467e-01, 3.31734e+00
4.39546e-01, 4.92092e-01, 4.65819e-01, 1.20137e-01, 2.28630e+00
4.92092e-01, 5.49893e-01, 5.20992e-01, 8.08620e-02, 1.39897e+00
5.49893e-01, 6.13474e-01, 5.81683e-01, 4.58824e-02, 7.21636e-01
6.13474e-01, 6.83413e-01, 6.48443e-01, 2.00977e-02, 2.87359e-01
6.83413e-01, 7.60346e-01, 7.21880e-01, 5.75440e-03, 7.47976e-02
7.60346e-01, 8.44972e-01, 8.02659e-01, 7.46239e-04, 8.81805e-03
8.44972e-01, 9.38061e-01, 8.91517e-01, 1.53818e-05, 1.65237e-04
9.38061e-01, 1.04046e+00, 9.89260e-01, 2.03132e-12, 1.98375e-11
1.04046e+00, 1.15310e+00, 1.09678e+00, 0.00000e+00, 0.00000e+00
1.15310e+00, 1.27700e+00, 1.21505e+00, 0.00000e+00, 0.00000e+00
1.27700e+00, 1.41329e+00, 1.34514e+00, 0.00000e+00, 0.00000e+00
1.41329e+00, 1.56321e+00, 1.48825e+00, 0.00000e+00, 0.00000e+00
1.56321e+00, 1.72812e+00, 1.64567e+00, 0.00000e+00, 0.00000e+00
1.72812e+00, 1.90953e+00, 1.81883e+00, 0.00000e+00, 0.00000e+00
1.90953e+00, 2.10907e+00, 2.00930e+00, 0.00000e+00, 0.00000e+00
2.10907e+00, 2.32857e+00, 2.21882e+00, 0.00000e+00, 0.00000e+00
2.32857e+00, 2.57002e+00, 2.44930e+00, 0.00000e+00, 0.00000e+00
2.57002e+00, 2.83561e+00, 2.70282e+00, 0.00000e+00, 0.00000e+00
2.83561e+00, 3.12777e+00, 2.98169e+00, 0.00000e+00, 0.00000e+00
3.12777e+00, 3.44914e+00, 3.28845e+00, 0.00000e+00, 0.00000e+00
3.44914e+00, 3.80264e+00, 3.62589e+00, 0.00000e+00, 0.00000e+00
3.80264e+00, 4.19150e+00, 3.99707e+00, 0.00000e+00, 0.00000e+00
4.19150e+00, 4.61924e+00, 4.40537e+00, 0.00000e+00, 0.00000e+00
4.61924e+00, 5.08975e+00, 4.85450e+00, 0.00000e+00, 0.00000e+00
5.08975e+00, 5.60732e+00, 5.34854e+00, 0.00000e+00, 0.00000e+00
5.60732e+00, 6.17664e+00, 5.89198e+00, 0.00000e+00, 0.00000e+00
6.17664e+00, 6.80290e+00, 6.48977e+00, 0.00000e+00, 0.00000e+00
6.80290e+00, 7.49178e+00, 7.14734e+00, 0.00000e+00, 0.00000e+00
7.49178e+00, 8.24955e+00, 7.87067e+00, 0.00000e+00, 0.00000e+00
8.24955e+00, 9.08310e+00, 8.66632e+00, 0.00000e+00, 0.00000e+00
9.08310e+00, 1.00000e+01, 9.54155e+00, 0.00000e+00, 0.00000e+00
