# time = 2.300000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 3.23295e-04, 4.45488e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 3.55625e-04, 4.45488e+00
1.52399e-04, 2.40210e-04, 1.96305e-04, 3.91187e-04, 4.45488e+00
2.40210e-04, 3.36802e-04, 2.88506e-04, 4.30306e-04, 4.45488e+00
3.36802e-04, 4.43053e-04, 3.89928e-04, 4.73336e-04, 4.45488e+00
4.43053e-04, 5.59929e-04, 5.01491e-04, 5.20670e-04, 4.45488e+00
5.59929e-04, 6.88493e-04, 6.24211e-04, 5.72737e-04, 4.45488e+00
6.88493e-04, 8.29914e-04, 7.59203e-04, 6.30010e-04, 4.45488e+00
8.29914e-04, 9.85476e-04, 9.07695e-04, 6.93011e-04, 4.45487e+00
9.85476e-04, 1.15659e-03, 1.07104e-03, 7.62311e-04, 4.45487e+00
1.15659e-03, 1.34482e-03, 1.25071e-03, 8.38542e-04, 4.45487e+00
1.34482e-03, 1.55188e-03, 1.44835e-03, 9.22395e-04, 4.45486e+00
1.55188e-03, 1.77964e-03, 1.66576e-03, 1.01463e-03, 4.45485e+00
1.77964e-03, 2.03017e-03, 1.90490e-03, 1.11609e-03, 4.45485e+00
2.03017e-03, 2.30576e-03, 2.16797e-03, 1.22770e-03, 4.45484e+00
2.30576e-03, 2.60891e-03, 2.45733e-03, 1.35047e-03, 4.45482e+00
2.60891e-03, 2.94237e-03, 2.77564e-03, 1.48551e-03, 4.45481e+00
2.94237e-03, 3.30918e-03, 3.12577e-03, 1.63405e-03, 4.45479e+00
3.30918e-03, 3.71267e-03, 3.51092e-03, 1.79745e-03, 4.45476e+00
3.71267e-03, 4.15650e-03, 3.93458e-03, 1.97718e-03, 4.45473e+00
4.15650e-03, 4.64472e-03, 4.40061e-03, 2.17488e-03, 4.45469e+00
4.64472e-03, 5.18177e-03, 4.91325e-03, 2.39234e-03, 4.45465e+00
5.18177e-03, 5.77252e-03, 5.47714e-03, 2.63154e-03, 4.45459e+00
5.77252e-03, 6.42234e-03, 6.09743e-03, 2.89465e-03, 4.45452e+00
6.42234e-03, 7.13714e-03, 6.77974e-03, 3.18405e-03, 4.45443e+00
