# time = 2.000000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 3.08619e-05, 3.86605e-01
1.52399e-04, 2.40210e-04, 1.96305e-04, 3.39481e-05, 3.86605e-01
2.40210e-04, 3.36802e-04, 2.88506e-04, 3.73429e-05, 3.86605e-01
3.36802e-04, 4.43053e-04, 3.89928e-04, 4.10772e-05, 3.86605e-01
4.43053e-04, 5.59929e-04, 5.01491e-04, 4.51850e-05, 3.86605e-01
5.59929e-04, 6.88493e-04, 6.24211e-04, 4.97035e-05, 3.86605e-01
6.88493e-04, 8.29914e-04, 7.59203e-04, 5.46738e-05, 3.86605e-01
8.29914e-04, 9.85476e-04, 9.07695e-04, 6.01412e-05, 3.86605e-01
9.85476e-04, 1.15659e-03, 1.07104e-03, 6.61553e-05, 3.86605e-01
1.15659e-03, 1.34482e-03, 1.25071e-03, 7.27708e-05, 3.86605e-01
1.34482e-03, 1.55188e-03, 1.44835e-03, 8.00479e-05, 3.86605e-01
1.55188e-03, 1.77964e-03, 1.66576e-03, 8.80527e-05, 3.86605e-01
1.77964e-03, 2.03017e-03, 1.90490e-03, 9.68579e-05, 3.86605e-01
2.03017e-03, 2.30576e-03, 2.16797e-03, 1.06544e-04, 3.86605e-01
2.30576e-03, 2.60891e-03, 2.45733e-03, 1.17198e-04, 3.86605e-01
2.60891e-03, 2.94237e-03, 2.77564e-03, 1.28918e-04, 3.86605e-01
2.94237e-03, 3.30918e-03, 3.12577e-03, 1.41810e-04, 3.86605e-01
3.30918e-03, 3.71267e-03, 3.51092e-03, 1.55991e-04, 3.86604e-01
3.71267e-03, 4.15650e-03, 3.93458e-03, 1.71590e-04, 3.86604e-01
4.15650e-03, 4.64472e-03, 4.40061e-03, 1.88748e-04, 3.86604e-01
4.64472e-03, 5.18177e-03, 4.91325e-03, 2.07623e-04, 3.86604e-01
5.18177e-03, 5.77252e-03, 5.47714e-03, 2.28385e-04, 3.86604e-01
5.77252e-03, 6.42234e-03, 6.09743e-03, 2.51224e-04, 3.86603e-01
6.42234e-03, 7.13714e-03, 6.77974e-03, 2.76346e-04, 3.86603e-01
7.13714e-03, 7.92343e-03, 7.53029e-03, 3.03980e-04, 3.86603e-01
7.92343e-03, 8.78834e-03, 8.35588e-03, 3.34378e-04, 3.86602e-01
8.78834e-03, 9.73975e-03, 9.26404e-03, 3.67815e-04, 3.86601e-01
9.73975e-03, 1.07863e-02, 1.02630e-02, 4.04595e-04, 3.86601e-01
1.07863e-02, 1.19375e-02, 1.13619e-02, 4.45054e-04, 3.86600e-01
1.19375e-02, 1.32038e-02, 1.25707e-02, 4.89558e-04, 3.86599e-01
1.32038e-02, 1.45968e-02, 1.39003e-02, 5.38511e-04, 3.86597e-01
1.45968e-02, 1.61290e-02, 1.53629e-02, 5.92360e-04, 3.86595e-01
1.61290e-02, 1.78145e-02, 1.69717e-02, 6.51592e-04, 3.86593e-01
1.78145e-02, 1.96685e-02, 1.87415e-02, 7.16747e-04, 3.86591e-01
1.96685e-02, 2.17079e-02, 2.06882e-02, 7.88415e-04, 3.86588e-01
2.17079e-02, 2.39513e-02, 2.28296e-02, 8.67248e-04, 3.86584e-01
2.39513e-02, 2.64190e-02, 2.51851e-02, 9.53961e-04, 3.86579e-01
2.64190e-02, 2.91335e-02, 2.77762e-02, 1.04934e-03, 3.86573e-01
2.91335e-02, 3.21194e-02, 3.06264e-02, 1.15426e-03, 3.86567e-01
3.21194e-02, 3.54039e-02, 3.37616e-02, 1.26965e-03, 3.86558e-01
3.54039e-02, 3.90168e-02, 3.72104e-02, 1.39658e-03, 3.86548e-01
3.90168e-02, 4.29911e-02, 4.10040e-02, 1.53619e-03, 3.86536e-01
4.29911e-02, 4.73628e-02, 4.51769e-02, 1.68975e-03, 3.86522e-01
4.73628e-02, 5.21716e-02, 4.97672e-02, 1.85864e-03, 3.86504e-01
5.21716e-02, 5.74614e-02, 5.48165e-02, 2.04439e-03, 3.86482e-01
5.74614e-02, 6.32801e-02, 6.03707e-02, 2.24868e-03, 3.86456e-01
