# time = 7.500000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 7.25710e-05, 3.62855e-05, 0.00000e+00, 0.00000e+00
7.25710e-05, 1.52399e-04, 1.12485e-04, 1.00366e-03, 1.25727e+01
1.52399e-04, 2.40210e-04, 1.96305e-04, 1.10402e-03, 1.25727e+01
2.40210e-04, 3.36802e-04, 2.88506e-04, 1.21442e-03, 1.25727e+01
3.36802e-04, 4.43053e-04, 3.89928e-04, 1.33587e-03, 1.25727e+01
4.43053e-04, 5.59929e-04, 5.01491e-04, 1.46945e-03, 1.25727e+01
5.59929e-04, 6.88493e-04, 6.24211e-04, 1.61640e-03, 1.25727e+01
6.88493e-04, 8.29914e-04, 7.59203e-04, 1.77803e-03, 1.25727e+01
8.29914e-04, 9.85476e-04, 9.07695e-04, 1.95583e-03, 1.25727e+01
9.85476e-04, 1.15659e-03, 1.07104e-03, 2.15141e-03, 1.25726e+01
1.15659e-03, 1.34482e-03, 1.25071e-03, 2.36654e-03, 1.25726e+01
1.34482e-03, 1.55188e-03, 1.44835e-03, 2.60318e-03, 1.25725e+01
1.55188e-03, 1.77964e-03, 1.66576e-03, 2.86349e-03, 1.25725e+01
1.77964e-03, 2.03017e-03, 1.90490e-03, 3.14981e-03, 1.25724e+01
2.03017e-03, 2.30576e-03, 2.16797e-03, 3.46476e-03, 1.25723e+01
2.30576e-03, 2.60891e-03, 2.45733e-03, 3.81120e-03, 1.25721e+01
2.60891e-03, 2.94237e-03, 2.77564e-03, 4.19226e-03, 1.25719e+01
2.94237e-03, 3.30918e-03, 3.12577e-03, 4.61141e-03, 1.25717e+01
3.30918e-03, 3.71267e-03, 3.51092e-03, 5.07245e-03, 1.25715e+01
3.71267e-03, 4.15650e-03, 3.93458e-03, 5.57955e-03, 1.25712e+01
4.15650e-03, 4.64472e-03, 4.40061e-03, 6.13732e-03, 1.25708e+01
4.64472e-03, 5.18177e-03, 4.91325e-03, 6.75079e-03, 1.25703e+01
5.18177e-03, 5.77252e-03, 5.47714e-03, 7.42551e-03, 1.25697e+01
5.77252e-03, 6.42234e-03, 6.09743e-03, 8.16759e-03, 1.25690e+01
6.42234e-03, 7.13714e-03, 6.77974e-03, 8.98372e-03, 1.25681e+01
7.13714e-03, 7.92343e-03, 7.53029e-03, 9.88123e-03, 1.25670e+01
7.92343e-03, 8.78834e-03, 8.35588e-03, 1.08682e-02, 1.25657e+01
8.78834e-03, 9.73975e-03, 9.26404e-03, 1.19535e-02, 1.25640e+01
9.73975e-03, 1.07863e-02, 1.02630e-02, 1.31468e-02, 1.25621e+01
1.07863e-02, 1.19375e-02, 1.13619e-02, 1.44587e-02, 1.25597e+01
1.19375e-02, 1.32038e-02, 1.25707e-02, 1.59008e-02, 1.25567e+01
1.32038e-02, 1.45968e-02, 1.39003e-02, 1.74860e-02, 1.25532e+01
1.45968e-02, 1.61290e-02, 1.53629e-02, 1.92279e-02, 1.25489e+01
1.61290e-02, 1.78145e-02, 1.69717e-02, 2.11419e-02, 1.25436e+01
1.78145e-02, 1.96685e-02, 1.87415e-02, 2.32443e-02, 1.25372e+01
1.96685e-02, 2.17079e-02, 2.06882e-02, 2.55529e-02, 1.25295e+01
2.17079e-02, 2.39513e-02, 2.28296e-02, 2.80871e-02, 1.25201e+01
2.39513e-02, 2.64190e-02, 2.51851e-02, 3.08677e-02, 1.25087e+01
2.64190e-02, 2.91335e-02, 2.77762e-02, 3.39171e-02, 1.24949e+01
2.91335e-02, 3.21194e-02, 3.06264e-02, 3.72588e-02, 1.24782e+01
3.21194e-02, 3.54039e-02, 3.37616e-02, 4.09182e-02, 1.24579e+01
3.54039e-02, 3.90168e-02, 3.72104e-02, 4.49215e-02, 1.24334e+01
3.90168e-02, 4.29911e-02, 4.10040e-02, 4.92959e-02, 1.24038e+01
4.29911e-02, 4.73628e-02, 4.51769e-02, 5.40689e-02, 1.23680e+01
4.73628e-02, 5.21716e-02, 4.97672e-02, 5.92677e-02, 1.23247e+01
5.21716e-02, 5.74614e-02, 5.48165e-02, 6.49181e-02, 1.22725e+01
5.74614e-02, 6.32801e-02, 6.03707e-02, 7.10435e-02, 1.22095e+01
6.32801e-02, 6.96806e-02, 6.64804e-02, 7.76622e-02, 1.21336e+01
6.96806e-02, 7.67213e-02, 7.32010e-02, 8.47858e-02, 1.20423e+01
7.67213e-02, 8.44660e-02, 8.05936e-02, 9.24153e-02, 1.19327e+01
8.44660e-02, 9.29852e-02, 8.87256e-02, 1.00537e-01, 1.18013e+01
9.29852e-02, 1.02356e-01, 9.76707e-02, 1.09117e-01, 1.16440e+01
1.02356e-01, 1.12664e-01, 1.07510e-01, 1.18095e-01, 1.14564e+01
1.12664e-01, 1.24003e-01, 1.18334e-01, 1.27374e-01, 1.12332e+01
1.24003e-01, 1.36476e-01, 1.30240e-01, 1.36813e-01, 1.09688e+01
1.36476e-01, 1.50197e-01, 1.43336e-01, 1.46215e-01, 1.06569e+01
1.50197e-01, 1.65289e-01, 1.57743e-01, 1.55315e-01, 1.02911e+01
1.65289e-01, 1.81890e-01, 1.73590e-01, 1.63771e-01, 9.86483e+00
1.81890e-01, 2.00152e-01, 1.91021e-01, 1.71151e-01, 9.37220e+00
