# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 1.45142e-05, 7.25710e-06, 6.11498e-14, 4.21310e-09
1.45142e-05, 3.04798e-05, 2.24970e-05, 1.05328e-11, 6.59715e-07
3.04798e-05, 4.80420e-05, 3.92609e-05, 0.00000e+00, 0.00000e+00
4.80420e-05, 6.73604e-05, 5.77012e-05, 9.39113e-07, 4.86124e-02
6.73604e-05, 8.86106e-05, 7.79855e-05, 1.21531e-04, 5.71904e+00
8.86106e-05, 1.11986e-04, 1.00298e-04, 0.00000e+00, 0.00000e+00
1.11986e-04, 1.37699e-04, 1.24842e-04, 0.00000e+00, 0.00000e+00
1.37699e-04, 1.65983e-04, 1.51841e-04, 6.69037e+02, 2.36542e+07
1.65983e-04, 1.97095e-04, 1.81539e-04, 1.97118e+04, 6.33567e+08
1.97095e-04, 2.31319e-04, 2.14207e-04, 0.00000e+00, 0.00000e+00
2.31319e-04, 2.68965e-04, 2.50142e-04, 1.38844e+09, 3.68813e+13
2.68965e-04, 3.10376e-04, 2.89670e-04, 9.22034e+10, 2.22656e+15
3.10376e-04, 3.55927e-04, 3.33152e-04, 0.00000e+00, 0.00000e+00
3.55927e-04, 4.06034e-04, 3.80981e-04, 0.00000e+00, 0.00000e+00
4.06034e-04, 4.61152e-04, 4.33593e-04, 7.62116e+16, 1.38271e+21
4.61152e-04, 5.21781e-04, 4.91467e-04, 0.00000e+00, 0.00000e+00
5.21781e-04, 5.88474e-04, 5.55128e-04, 0.00000e+00, 0.00000e+00
5.88474e-04, 6.61835e-04, 6.25155e-04, 1.49606e+22, 2.03930e+26
6.61835e-04, 7.42533e-04, 7.02184e-04, 0.00000e+00, 0.00000e+00
7.42533e-04, 8.31301e-04, 7.86917e-04, 0.00000e+00, 0.00000e+00
8.31301e-04, 9.28945e-04, 8.80123e-04, 1.14383e+27, 1.17142e+31
9.28945e-04, 1.03635e-03, 9.82649e-04, 1.46428e+28, 1.36328e+32
1.03635e-03, 1.15450e-03, 1.09543e-03, 0.00000e+00, 0.00000e+00
1.15450e-03, 1.28447e-03, 1.21949e-03, 5.04812e+31, 3.88423e+35
1.28447e-03, 1.42743e-03, 1.35595e-03, 9.71058e+32, 6.79247e+36
1.42743e-03, 1.58469e-03, 1.50606e-03, 0.00000e+00, 0.00000e+00
1.58469e-03, 1.75767e-03, 1.67118e-03, 1.02841e+36, 5.94519e+39
1.75767e-03, 1.94795e-03, 1.85281e-03, 1.48630e+37, 7.81106e+40
1.94795e-03, 2.15726e-03, 2.05260e-03, 0.00000e+00, 0.00000e+00
2.15726e-03, 2.38750e-03, 2.27238e-03, 6.99718e+39, 3.03908e+43
2.38750e-03, 2.64076e-03, 2.51413e-03, 7.59770e+40, 2.99991e+44
2.64076e-03, 2.91935e-03, 2.78006e-03, 0.00000e+00, 0.00000e+00
2.91935e-03, 3.22580e-03, 3.07258e-03, 1.79470e+43, 5.85642e+46
3.22580e-03, 3.56290e-03, 3.39435e-03, 1.46410e+44, 4.34331e+47
3.56290e-03, 3.93370e-03, 3.74830e-03, 0.00000e+00, 0.00000e+00
3.93370e-03, 4.34159e-03, 4.13764e-03, 1.83019e+46, 4.48703e+49
4.34159e-03, 4.79026e-03, 4.56592e-03, 1.12176e+47, 2.50017e+50
4.79026e-03, 5.28380e-03, 5.03703e-03, 0.00000e+00, 0.00000e+00
5.28380e-03, 5.82669e-03, 5.55524e-03, 7.59869e+48, 1.39966e+52
5.82669e-03, 6.42388e-03, 6.12528e-03, 3.49916e+49, 5.85944e+52
6.42388e-03, 7.08078e-03, 6.75233e-03, 0.00000e+00, 0.00000e+00
7.08078e-03, 7.80337e-03, 7.44207e-03, 1.30081e+51, 1.80019e+54
7.80337e-03, 8.59822e-03, 8.20079e-03, 4.50048e+51, 5.66205e+54
8.59822e-03, 9.47256e-03, 9.03539e-03, 0.00000e+00, 0.00000e+00
9.47256e-03, 1.04343e-02, 9.95344e-03, 9.25118e+52, 9.61891e+55
1.04343e-02, 1.14923e-02, 1.09633e-02, 0.00000e+00, 0.00000e+00
1.14923e-02, 1.26560e-02, 1.20741e-02, 0.00000e+00, 0.00000e+00
1.26560e-02, 1.39361e-02, 1.32961e-02, 2.74668e+54, 2.14565e+57
1.39361e-02, 1.53443e-02, 1.46402e-02, 0.00000e+00, 0.00000e+00
1.53443e-02, 1.68932e-02, 1.61187e-02, 0.00000e+00, 0.00000e+00
1.68932e-02, 1.85970e-02, 1.77451e-02, 3.41578e+55, 2.00476e+58
1.85970e-02, 2.04712e-02, 1.95341e-02, 0.00000e+00, 0.00000e+00
2.04712e-02, 2.25329e-02, 2.15021e-02, 5.55831e+55, 2.69607e+58
2.25329e-02, 2.48007e-02, 2.36668e-02, 9.03756e+55, 3.98516e+58
2.48007e-02, 2.72953e-02, 2.60480e-02, 0.00000e+00, 0.00000e+00
2.72953e-02, 3.00393e-02, 2.86673e-02, 1.78459e+56, 6.50350e+58
3.00393e-02, 3.30578e-02, 3.15485e-02, 9.16530e+55, 3.03643e+58
3.30578e-02, 3.63781e-02, 3.47179e-02, 0.00000e+00, 0.00000e+00
3.63781e-02, 4.00304e-02, 3.82042e-02, 3.58009e+56, 9.80223e+58
4.00304e-02, 4.40479e-02, 4.20391e-02, 8.33145e+55, 2.07376e+58
4.40479e-02, 4.84672e-02, 4.62576e-02, 7.66363e+55, 1.73412e+58
4.84672e-02, 5.33285e-02, 5.08978e-02, 3.53229e+56, 7.26623e+58
5.33285e-02, 5.86758e-02, 5.60021e-02, 5.43745e+55, 1.01685e+58
5.86758e-02, 6.45579e-02, 6.16169e-02, 9.90968e+55, 1.68472e+58
6.45579e-02, 7.10282e-02, 6.77931e-02, 2.15422e+56, 3.32940e+58
7.10282e-02, 7.81456e-02, 7.45869e-02, 8.93762e+55, 1.25575e+58
7.81456e-02, 8.59746e-02, 8.20601e-02, 7.17927e+55, 9.17001e+57
8.59746e-02, 9.45866e-02, 9.02806e-02, 9.33256e+55, 1.08367e+58
9.45866e-02, 1.04060e-01, 9.93232e-02, 5.98825e+55, 6.32127e+57
1.04060e-01, 1.14480e-01, 1.09270e-01, 3.60951e+55, 3.46385e+57
1.14480e-01, 1.25943e-01, 1.20212e-01, 2.92911e+55, 2.55537e+57
1.25943e-01, 1.38552e-01, 1.32247e-01, 2.03886e+55, 1.61701e+57
1.38552e-01, 1.52421e-01, 1.45486e-01, 1.06559e+55, 7.68284e+56
1.52421e-01, 1.67678e-01, 1.60050e-01, 4.42224e+54, 2.89857e+56
1.67678e-01, 1.84460e-01, 1.76069e-01, 1.50441e+54, 8.96424e+55
1.84460e-01, 2.02921e-01, 1.93691e-01, 4.14606e+53, 2.24590e+55
2.02921e-01, 2.23227e-01, 2.13074e-01, 9.05784e+52, 4.46054e+54
2.23227e-01, 2.45565e-01, 2.34396e-01, 1.54972e+52, 6.93781e+53
2.45565e-01, 2.70136e-01, 2.57850e-01, 2.07179e+51, 8.43186e+52
2.70136e-01, 2.97164e-01, 2.83650e-01, 2.17071e+50, 8.03131e+51
2.97164e-01, 3.26895e-01, 3.12029e-01, 1.79082e+49, 6.02343e+50
3.26895e-01, 3.59599e-01, 3.43247e-01, 1.16865e+48, 3.57343e+49
3.59599e-01, 3.95573e-01, 3.77586e-01, 6.05493e+46, 1.68312e+48
3.95573e-01, 4.35145e-01, 4.15359e-01, 2.49704e+45, 6.31015e+46
4.35145e-01, 4.78674e-01, 4.56909e-01, 8.20719e+43, 1.88545e+45
4.78674e-01, 5.26556e-01, 5.02615e-01, 2.14996e+42, 4.49014e+43
5.26556e-01, 5.79226e-01, 5.52891e-01, 4.48322e+40, 8.51189e+41
5.79226e-01, 6.37163e-01, 6.08194e-01, 7.42248e+38, 1.28113e+40
6.37163e-01, 7.00894e-01, 6.69028e-01, 9.71753e+36, 1.52478e+38
7.00894e-01, 7.70997e-01, 7.35945e-01, 1.00033e+35, 1.42693e+36
7.70997e-01, 8.48112e-01, 8.09555e-01, 8.03526e+32, 1.04199e+34
8.48112e-01, 9.32937e-01, 8.90524e-01, 4.98600e+30, 5.87794e+31
9.32937e-01, 1.02625e+00, 9.79591e-01, 2.35858e+28, 2.52773e+29
1.02625e+00, 1.12888e+00, 1.07757e+00, 8.35690e+25, 8.14203e+26
1.12888e+00, 1.24179e+00, 1.18534e+00, 2.16546e+23, 1.91798e+24
1.24179e+00, 1.36598e+00, 1.30388e+00, 3.96776e+20, 3.19483e+21
1.36598e+00, 1.50259e+00, 1.43429e+00, 4.89036e+17, 3.57973e+18
1.50259e+00, 1.65287e+00, 1.57773e+00, 3.74106e+14, 2.48950e+15
1.65287e+00, 1.81817e+00, 1.73552e+00, 1.53110e+11, 9.26251e+11
1.81817e+00, 2.00000e+00, 1.90908e+00, 0.00000e+00, 0.00000e+00
