# time = 9.000000000000000e-02# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 2.22145e-31, 4.59940e-24
4.82987e-08, 1.06257e-07, 7.72779e-08, 4.81857e-30, 8.31383e-23
1.06257e-07, 1.75807e-07, 1.41032e-07, 3.19961e-29, 4.60044e-22
1.75807e-07, 2.59267e-07, 2.17537e-07, 1.36003e-28, 1.62955e-21
2.59267e-07, 3.59420e-07, 3.09343e-07, 4.60868e-28, 4.60167e-21
3.59420e-07, 4.79602e-07, 4.19511e-07, 1.36446e-27, 1.13532e-20
4.79602e-07, 6.23821e-07, 5.51712e-07, 3.69803e-27, 2.56417e-20
6.23821e-07, 7.96884e-07, 7.10353e-07, 9.42534e-27, 5.44619e-20
7.96884e-07, 1.00456e-06, 9.00722e-07, 2.29762e-26, 1.10635e-19
1.00456e-06, 1.25377e-06, 1.12917e-06, 5.41752e-26, 2.17387e-19
1.25377e-06, 1.55282e-06, 1.40330e-06, 1.24530e-25, 4.16414e-19
1.55282e-06, 1.91169e-06, 1.73225e-06, 2.80643e-25, 7.82032e-19
1.91169e-06, 2.34232e-06, 2.12700e-06, 6.22677e-25, 1.44595e-18
2.34232e-06, 2.85909e-06, 2.60070e-06, 1.36452e-24, 2.64052e-18
2.85909e-06, 3.47920e-06, 3.16914e-06, 2.96052e-24, 4.77414e-18
3.47920e-06, 4.22334e-06, 3.85127e-06, 6.37171e-24, 8.56253e-18
4.22334e-06, 5.11631e-06, 4.66982e-06, 1.36238e-23, 1.52568e-17
5.11631e-06, 6.18787e-06, 5.65209e-06, 2.89747e-23, 2.70398e-17
6.18787e-06, 7.47374e-06, 6.83080e-06, 6.13532e-23, 4.77133e-17
7.47374e-06, 9.01679e-06, 8.24526e-06, 1.29447e-22, 8.38903e-17
9.01679e-06, 1.08684e-05, 9.94261e-06, 2.72306e-22, 1.47061e-16
1.08684e-05, 1.30904e-05, 1.19794e-05, 5.71425e-22, 2.57169e-16
1.30904e-05, 1.57568e-05, 1.44236e-05, 1.19669e-21, 4.48808e-16
1.57568e-05, 1.89565e-05, 1.73566e-05, 2.50196e-21, 7.81944e-16
1.89565e-05, 2.27961e-05, 2.08763e-05, 5.22364e-21, 1.36047e-15
2.27961e-05, 2.74036e-05, 2.50998e-05, 1.08935e-20, 2.36428e-15
2.74036e-05, 3.29326e-05, 3.01681e-05, 2.26957e-20, 4.10483e-15
3.29326e-05, 3.95674e-05, 3.62500e-05, 4.72471e-20, 7.12108e-15
3.95674e-05, 4.75292e-05, 4.35483e-05, 9.82923e-20, 1.23455e-14
4.75292e-05, 5.70833e-05, 5.23063e-05, 2.04374e-19, 2.13911e-14
5.70833e-05, 6.85483e-05, 6.28158e-05, 4.24749e-19, 3.70475e-14
6.85483e-05, 8.23063e-05, 7.54273e-05, 8.82416e-19, 6.41386e-14
8.23063e-05, 9.88158e-05, 9.05610e-05, 1.83263e-18, 1.11004e-13
9.88158e-05, 1.18627e-04, 1.08722e-04, 3.80507e-18, 1.92064e-13
1.18627e-04, 1.42401e-04, 1.30514e-04, 7.89865e-18, 3.32243e-13
1.42401e-04, 1.70930e-04, 1.56665e-04, 1.63931e-17, 5.74623e-13
1.70930e-04, 2.05164e-04, 1.88047e-04, 3.40176e-17, 9.93671e-13
2.05164e-04, 2.46245e-04, 2.25704e-04, 7.05808e-17, 1.71809e-12
2.46245e-04, 2.95542e-04, 2.70893e-04, 1.46427e-16, 2.97028e-12
2.95542e-04, 3.54699e-04, 3.25120e-04, 3.03747e-16, 5.13462e-12
3.54699e-04, 4.25687e-04, 3.90193e-04, 6.30040e-16, 8.87530e-12
4.25687e-04, 5.10872e-04, 4.68280e-04, 1.30675e-15, 1.53400e-11
5.10872e-04, 6.13095e-04, 5.61984e-04, 2.71011e-15, 2.65118e-11
6.13095e-04, 7.35763e-04, 6.74429e-04, 5.62025e-15, 4.58170e-11
7.35763e-04, 8.82963e-04, 8.09363e-04, 1.16546e-14, 7.91751e-11
8.82963e-04, 1.05960e-03, 9.71284e-04, 2.41667e-14, 1.36813e-10
1.05960e-03, 1.27157e-03, 1.16559e-03, 5.01087e-14, 2.36396e-10
1.27157e-03, 1.52594e-03, 1.39876e-03, 1.03892e-13, 4.08440e-10
1.52594e-03, 1.83117e-03, 1.67855e-03, 2.15389e-13, 7.05648e-10
1.83117e-03, 2.19745e-03, 2.01431e-03, 4.46514e-13, 1.21904e-09
2.19745e-03, 2.63699e-03, 2.41722e-03, 9.25576e-13, 2.10579e-09
2.63699e-03, 3.16444e-03, 2.90072e-03, 1.91845e-12, 3.63724e-09
3.16444e-03, 3.79738e-03, 3.48091e-03, 3.97598e-12, 6.28180e-09
3.79738e-03, 4.55690e-03, 4.17714e-03, 8.23919e-12, 1.08478e-08
4.55690e-03, 5.46833e-03, 5.01262e-03, 1.70711e-11, 1.87301e-08
5.46833e-03, 6.56204e-03, 6.01519e-03, 3.53645e-11, 3.23343e-08
6.56204e-03, 7.87450e-03, 7.21827e-03, 7.32459e-11, 5.58082e-08
7.87450e-03, 9.44945e-03, 8.66198e-03, 1.51668e-10, 9.63005e-08
9.44945e-03, 1.13394e-02, 1.03944e-02, 3.13965e-10, 1.66124e-07
1.13394e-02, 1.36073e-02, 1.24734e-02, 6.49707e-10, 2.86476e-07
1.36073e-02, 1.63288e-02, 1.49681e-02, 1.34392e-09, 4.93815e-07
1.63288e-02, 1.95946e-02, 1.79617e-02, 2.77853e-09, 8.50794e-07
1.95946e-02, 2.35136e-02, 2.15541e-02, 5.74116e-09, 1.46496e-06
2.35136e-02, 2.82164e-02, 2.58650e-02, 1.18542e-08, 2.52069e-06
2.82164e-02, 3.38597e-02, 3.10381e-02, 2.44555e-08, 4.33353e-06
3.38597e-02, 4.06317e-02, 3.72457e-02, 5.04006e-08, 7.44251e-06
4.06317e-02, 4.87581e-02, 4.46949e-02, 1.03743e-07, 1.27662e-05
4.87581e-02, 5.85098e-02, 5.36339e-02, 2.13228e-07, 2.18658e-05
5.85098e-02, 7.02118e-02, 6.43608e-02, 4.37482e-07, 3.73853e-05
7.02118e-02, 8.42542e-02, 7.72330e-02, 8.95684e-07, 6.37842e-05
8.42542e-02, 1.01105e-01, 9.26796e-02, 1.82912e-06, 1.08548e-04
1.01105e-01, 1.21326e-01, 1.11216e-01, 3.72396e-06, 1.84162e-04
1.21326e-01, 1.45591e-01, 1.33459e-01, 7.55395e-06, 3.11307e-04
