# time = 9.000000000000000e-02# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 2.26741e-31, 4.69456e-24
4.82987e-08, 1.06257e-07, 7.72779e-08, 0.00000e+00, 0.00000e+00
1.06257e-07, 1.75807e-07, 1.41032e-07, 0.00000e+00, 0.00000e+00
1.75807e-07, 2.59267e-07, 2.17537e-07, 0.00000e+00, 0.00000e+00
2.59267e-07, 3.59420e-07, 3.09343e-07, 0.00000e+00, 0.00000e+00
3.59420e-07, 4.79602e-07, 4.19511e-07, 0.00000e+00, 0.00000e+00
4.79602e-07, 6.23821e-07, 5.51712e-07, 0.00000e+00, 0.00000e+00
6.23821e-07, 7.96884e-07, 7.10353e-07, 0.00000e+00, 0.00000e+00
7.96884e-07, 1.00456e-06, 9.00722e-07, 0.00000e+00, 0.00000e+00
1.00456e-06, 1.25377e-06, 1.12917e-06, 0.00000e+00, 0.00000e+00
1.25377e-06, 1.55282e-06, 1.40330e-06, 0.00000e+00, 0.00000e+00
1.55282e-06, 1.91169e-06, 1.73225e-06, 0.00000e+00, 0.00000e+00
1.91169e-06, 2.34232e-06, 2.12700e-06, 0.00000e+00, 0.00000e+00
2.34232e-06, 2.85909e-06, 2.60070e-06, 0.00000e+00, 0.00000e+00
2.85909e-06, 3.47920e-06, 3.16914e-06, 0.00000e+00, 0.00000e+00
3.47920e-06, 4.22334e-06, 3.85127e-06, 0.00000e+00, 0.00000e+00
4.22334e-06, 5.11631e-06, 4.66982e-06, 0.00000e+00, 0.00000e+00
5.11631e-06, 6.18787e-06, 5.65209e-06, 0.00000e+00, 0.00000e+00
6.18787e-06, 7.47374e-06, 6.83080e-06, 0.00000e+00, 0.00000e+00
7.47374e-06, 9.01679e-06, 8.24526e-06, 0.00000e+00, 0.00000e+00
9.01679e-06, 1.08684e-05, 9.94261e-06, 0.00000e+00, 0.00000e+00
1.08684e-05, 1.30904e-05, 1.19794e-05, 0.00000e+00, 0.00000e+00
1.30904e-05, 1.57568e-05, 1.44236e-05, 0.00000e+00, 0.00000e+00
1.57568e-05, 1.89565e-05, 1.73566e-05, 0.00000e+00, 0.00000e+00
1.89565e-05, 2.27961e-05, 2.08763e-05, 0.00000e+00, 0.00000e+00
2.27961e-05, 2.74036e-05, 2.50998e-05, 0.00000e+00, 0.00000e+00
2.74036e-05, 3.29326e-05, 3.01681e-05, 0.00000e+00, 0.00000e+00
3.29326e-05, 3.95674e-05, 3.62500e-05, 0.00000e+00, 0.00000e+00
3.95674e-05, 4.75292e-05, 4.35483e-05, 0.00000e+00, 0.00000e+00
4.75292e-05, 5.70833e-05, 5.23063e-05, 0.00000e+00, 0.00000e+00
5.70833e-05, 6.85483e-05, 6.28158e-05, 0.00000e+00, 0.00000e+00
6.85483e-05, 8.23063e-05, 7.54273e-05, 0.00000e+00, 0.00000e+00
8.23063e-05, 9.88158e-05, 9.05610e-05, 0.00000e+00, 0.00000e+00
