# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 1.80599e-31, 3.73921e-24
4.82987e-08, 1.06257e-07, 7.72779e-08, 2.80291e-30, 4.83607e-23
1.06257e-07, 1.75807e-07, 1.41032e-07, 1.51212e-29, 2.17415e-22
1.75807e-07, 2.59267e-07, 2.17537e-07, 5.68438e-29, 6.81089e-22
2.59267e-07, 3.59420e-07, 3.09343e-07, 1.77952e-28, 1.77681e-21
3.59420e-07, 4.79602e-07, 4.19511e-07, 4.98910e-28, 4.15127e-21
4.79602e-07, 6.23821e-07, 5.51712e-07, 1.30020e-27, 9.01542e-21
6.23821e-07, 7.96884e-07, 7.10353e-07, 3.21874e-27, 1.85987e-20
7.96884e-07, 1.00456e-06, 9.00722e-07, 7.67431e-27, 3.69534e-20
1.00456e-06, 1.25377e-06, 1.12917e-06, 1.77869e-26, 7.13729e-20
1.25377e-06, 1.55282e-06, 1.40330e-06, 4.03373e-26, 1.34884e-19
1.55282e-06, 1.91169e-06, 1.73225e-06, 8.99341e-26, 2.50608e-19
1.91169e-06, 2.34232e-06, 2.12700e-06, 1.97832e-25, 4.59394e-19
2.34232e-06, 2.85909e-06, 2.60070e-06, 4.30522e-25, 8.33112e-19
2.85909e-06, 3.47920e-06, 3.16914e-06, 9.28821e-25, 1.49782e-18
3.47920e-06, 4.22334e-06, 3.85127e-06, 1.98985e-24, 2.67403e-18
4.22334e-06, 5.11631e-06, 4.66982e-06, 4.23864e-24, 4.74669e-18
5.11631e-06, 6.18787e-06, 5.65209e-06, 8.98674e-24, 8.38659e-18
6.18787e-06, 7.47374e-06, 6.83080e-06, 1.89807e-23, 1.47610e-17
7.47374e-06, 9.01679e-06, 8.24526e-06, 3.99626e-23, 2.58985e-17
9.01679e-06, 1.08684e-05, 9.94261e-06, 8.39198e-23, 4.53215e-17
1.08684e-05, 1.30904e-05, 1.19794e-05, 1.75850e-22, 7.91410e-17
1.30904e-05, 1.57568e-05, 1.44236e-05, 3.67832e-22, 1.37952e-16
1.57568e-05, 1.89565e-05, 1.73566e-05, 7.68275e-22, 2.40111e-16
1.89565e-05, 2.27961e-05, 2.08763e-05, 1.60270e-21, 4.17415e-16
2.27961e-05, 2.74036e-05, 2.50998e-05, 3.34003e-21, 7.24910e-16
2.74036e-05, 3.29326e-05, 3.01681e-05, 6.95476e-21, 1.25787e-15
3.29326e-05, 3.95674e-05, 3.62500e-05, 1.44714e-20, 2.18113e-15
3.95674e-05, 4.75292e-05, 4.35483e-05, 3.00944e-20, 3.77985e-15
4.75292e-05, 5.70833e-05, 5.23063e-05, 6.25533e-20, 6.54725e-15
5.70833e-05, 6.85483e-05, 6.28158e-05, 1.29969e-19, 1.13362e-14
6.85483e-05, 8.23063e-05, 7.54273e-05, 2.69950e-19, 1.96214e-14
8.23063e-05, 9.88158e-05, 9.05610e-05, 5.60539e-19, 3.39524e-14
9.88158e-05, 1.18627e-04, 1.08722e-04, 1.16366e-18, 5.87367e-14
1.18627e-04, 1.42401e-04, 1.30514e-04, 2.41525e-18, 1.01593e-13
1.42401e-04, 1.70930e-04, 1.56665e-04, 5.01216e-18, 1.75690e-13
1.70930e-04, 2.05164e-04, 1.88047e-04, 1.03999e-17, 3.03787e-13
2.05164e-04, 2.46245e-04, 2.25704e-04, 2.15766e-17, 5.25220e-13
2.46245e-04, 2.95542e-04, 2.70893e-04, 4.47603e-17, 9.07967e-13
2.95542e-04, 3.54699e-04, 3.25120e-04, 9.28466e-17, 1.56950e-12
3.54699e-04, 4.25687e-04, 3.90193e-04, 1.92578e-16, 2.71283e-12
4.25687e-04, 5.10872e-04, 4.68280e-04, 3.99412e-16, 4.68872e-12
5.10872e-04, 6.13095e-04, 5.61984e-04, 8.28342e-16, 8.10330e-12
6.13095e-04, 7.35763e-04, 6.74429e-04, 1.71781e-15, 1.40038e-11
7.35763e-04, 8.82963e-04, 8.09363e-04, 3.56221e-15, 2.41997e-11
8.82963e-04, 1.05960e-03, 9.71284e-04, 7.38657e-15, 4.18169e-11
1.05960e-03, 1.27157e-03, 1.16559e-03, 1.53160e-14, 7.22558e-11
1.27157e-03, 1.52594e-03, 1.39876e-03, 3.17560e-14, 1.24845e-10
1.52594e-03, 1.83117e-03, 1.67855e-03, 6.58391e-14, 2.15699e-10
1.83117e-03, 2.19745e-03, 2.01431e-03, 1.36495e-13, 3.72649e-10
2.19745e-03, 2.63699e-03, 2.41722e-03, 2.82956e-13, 6.43757e-10
2.63699e-03, 3.16444e-03, 2.90072e-03, 5.86531e-13, 1.11202e-09
3.16444e-03, 3.79738e-03, 3.48091e-03, 1.21569e-12, 1.92072e-09
3.79738e-03, 4.55690e-03, 4.17714e-03, 2.51950e-12, 3.31720e-09
4.55690e-03, 5.46833e-03, 5.01262e-03, 5.22097e-12, 5.72834e-09
5.46833e-03, 6.56204e-03, 6.01519e-03, 1.08175e-11, 9.89062e-09
6.56204e-03, 7.87450e-03, 7.21827e-03, 2.24094e-11, 1.70744e-08
7.87450e-03, 9.44945e-03, 8.66198e-03, 4.64137e-11, 2.94700e-08
9.44945e-03, 1.13394e-02, 1.03944e-02, 9.61076e-11, 5.08522e-08
1.13394e-02, 1.36073e-02, 1.24734e-02, 1.98950e-10, 8.77235e-08
1.36073e-02, 1.63288e-02, 1.49681e-02, 4.11702e-10, 1.51277e-07
1.63288e-02, 1.95946e-02, 1.79617e-02, 8.51613e-10, 2.60766e-07
1.95946e-02, 2.35136e-02, 2.15541e-02, 1.76071e-09, 4.49278e-07
2.35136e-02, 2.82164e-02, 2.58650e-02, 3.63811e-09, 7.73611e-07
2.82164e-02, 3.38597e-02, 3.10381e-02, 7.51203e-09, 1.33113e-06
3.38597e-02, 4.06317e-02, 3.72457e-02, 1.54978e-08, 2.28851e-06
4.06317e-02, 4.87581e-02, 4.46949e-02, 3.19402e-08, 3.93043e-06
4.87581e-02, 5.85098e-02, 5.36339e-02, 6.57471e-08, 6.74214e-06
5.85098e-02, 7.02118e-02, 6.43608e-02, 1.35138e-07, 1.15483e-05
7.02118e-02, 8.42542e-02, 7.72330e-02, 2.77279e-07, 1.97458e-05
8.42542e-02, 1.01105e-01, 9.26796e-02, 5.67727e-07, 3.36913e-05
1.01105e-01, 1.21326e-01, 1.11216e-01, 1.15949e-06, 5.73406e-05
1.21326e-01, 1.45591e-01, 1.33459e-01, 2.36090e-06, 9.72954e-05
1.45591e-01, 1.74710e-01, 1.60151e-01, 4.78975e-06, 1.64493e-04
1.74710e-01, 2.09652e-01, 1.92181e-01, 9.67521e-06, 2.76893e-04
2.09652e-01, 2.51582e-01, 2.30617e-01, 1.94423e-05, 4.63680e-04
2.51582e-01, 3.01899e-01, 2.76740e-01, 3.88265e-05, 7.71645e-04
3.01899e-01, 3.62278e-01, 3.32088e-01, 7.69609e-05, 1.27461e-03
3.62278e-01, 4.34734e-01, 3.98506e-01, 1.51196e-04, 2.08674e-03
4.34734e-01, 5.21681e-01, 4.78207e-01, 2.93890e-04, 3.38011e-03
5.21681e-01, 6.26017e-01, 5.73849e-01, 5.64033e-04, 5.40592e-03
6.26017e-01, 7.51221e-01, 6.88619e-01, 1.06620e-03, 8.51574e-03
7.51221e-01, 9.01465e-01, 8.26343e-01, 1.97938e-03, 1.31744e-02
9.01465e-01, 1.08176e+00, 9.91611e-01, 3.59659e-03, 1.99486e-02
1.08176e+00, 1.29811e+00, 1.18993e+00, 6.37072e-03, 2.94462e-02
1.29811e+00, 1.55773e+00, 1.42792e+00, 1.09494e-02, 4.21743e-02
1.55773e+00, 1.86928e+00, 1.71350e+00, 1.81609e-02, 5.82928e-02
1.86928e+00, 2.24313e+00, 2.05621e+00, 2.88886e-02, 7.72721e-02
2.24313e+00, 2.69176e+00, 2.46745e+00, 4.37601e-02, 9.75424e-02
2.69176e+00, 3.23011e+00, 2.96094e+00, 6.26245e-02, 1.16326e-01
3.23011e+00, 3.87613e+00, 3.55312e+00, 8.39335e-02, 1.29924e-01
3.87613e+00, 4.65136e+00, 4.26375e+00, 1.04374e-01, 1.34637e-01
4.65136e+00, 5.58163e+00, 5.11650e+00, 1.19264e-01, 1.28203e-01
5.58163e+00, 6.69796e+00, 6.13980e+00, 1.24030e-01, 1.11106e-01
6.69796e+00, 8.03755e+00, 7.36776e+00, 1.16350e-01, 8.68551e-02
8.03755e+00, 9.64506e+00, 8.84131e+00, 9.77044e-02, 6.07800e-02
9.64506e+00, 1.15741e+01, 1.06096e+01, 7.30215e-02, 3.78543e-02
1.15741e+01, 1.38889e+01, 1.27315e+01, 4.83975e-02, 2.09077e-02
1.38889e+01, 1.66667e+01, 1.52778e+01, 2.84097e-02, 1.02275e-02
1.66667e+01, 2.00000e+01, 1.83333e+01, 9.36356e-03, 2.80907e-03
