# time = 3.900000000000000e-01# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 2.07488e-31, 4.29593e-24
4.82987e-08, 1.06257e-07, 7.72779e-08, 4.02870e-30, 6.95101e-23
1.06257e-07, 1.75807e-07, 1.41032e-07, 2.49383e-29, 3.58565e-22
1.75807e-07, 2.59267e-07, 2.17537e-07, 1.01719e-28, 1.21878e-21
2.59267e-07, 3.59420e-07, 3.09343e-07, 3.35788e-28, 3.35278e-21
3.59420e-07, 4.79602e-07, 4.19511e-07, 9.76674e-28, 8.12658e-21
4.79602e-07, 6.23821e-07, 5.51712e-07, 2.61388e-27, 1.81244e-20
6.23821e-07, 7.96884e-07, 7.10353e-07, 6.60064e-27, 3.81401e-20
7.96884e-07, 1.00456e-06, 9.00722e-07, 1.59781e-26, 7.69378e-20
1.00456e-06, 1.25377e-06, 1.12917e-06, 3.74718e-26, 1.50362e-19
1.25377e-06, 1.55282e-06, 1.40330e-06, 8.57719e-26, 2.86812e-19
1.55282e-06, 1.91169e-06, 1.73225e-06, 1.92652e-25, 5.36841e-19
1.91169e-06, 2.34232e-06, 2.12700e-06, 4.26309e-25, 9.89952e-19
2.34232e-06, 2.85909e-06, 2.60070e-06, 9.32198e-25, 1.80392e-18
2.85909e-06, 3.47920e-06, 3.16914e-06, 2.01902e-24, 3.25587e-18
3.47920e-06, 4.22334e-06, 3.85127e-06, 4.33922e-24, 5.83119e-18
4.22334e-06, 5.11631e-06, 4.66982e-06, 9.26725e-24, 1.03780e-17
5.11631e-06, 6.18787e-06, 5.65209e-06, 1.96906e-23, 1.83756e-17
6.18787e-06, 7.47374e-06, 6.83080e-06, 4.16616e-23, 3.23995e-17
7.47374e-06, 9.01679e-06, 8.24526e-06, 8.78435e-23, 5.69286e-17
9.01679e-06, 1.08684e-05, 9.94261e-06, 1.84690e-22, 9.97434e-17
1.08684e-05, 1.30904e-05, 1.19794e-05, 3.87397e-22, 1.74347e-16
1.30904e-05, 1.57568e-05, 1.44236e-05, 8.11001e-22, 3.04157e-16
1.57568e-05, 1.89565e-05, 1.73566e-05, 1.69506e-21, 5.29764e-16
1.89565e-05, 2.27961e-05, 2.08763e-05, 3.53810e-21, 9.21478e-16
