# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 2.26741e-31, 4.69456e-24
4.82987e-08, 1.06257e-07, 7.72779e-08, 5.08481e-30, 8.77319e-23
1.06257e-07, 1.75807e-07, 1.41032e-07, 3.44933e-29, 4.95949e-22
1.75807e-07, 2.59267e-07, 2.17537e-07, 1.48465e-28, 1.77887e-21
2.59267e-07, 3.59420e-07, 3.09343e-07, 5.07068e-28, 5.06297e-21
3.59420e-07, 4.79602e-07, 4.19511e-07, 1.50918e-27, 1.25574e-20
4.79602e-07, 6.23821e-07, 5.51712e-07, 4.10548e-27, 2.84670e-20
6.23821e-07, 7.96884e-07, 7.10353e-07, 1.04923e-26, 6.06272e-20
7.96884e-07, 1.00456e-06, 9.00722e-07, 2.56295e-26, 1.23411e-19
1.00456e-06, 1.25377e-06, 1.12917e-06, 6.05263e-26, 2.42872e-19
1.25377e-06, 1.55282e-06, 1.40330e-06, 1.39299e-25, 4.65800e-19
1.55282e-06, 1.91169e-06, 1.73225e-06, 3.14230e-25, 8.75625e-19
1.91169e-06, 2.34232e-06, 2.12700e-06, 6.97736e-25, 1.62025e-18
2.34232e-06, 2.85909e-06, 2.60070e-06, 1.52995e-24, 2.96064e-18
2.85909e-06, 3.47920e-06, 3.16914e-06, 3.32111e-24, 5.35563e-18
3.47920e-06, 4.22334e-06, 3.85127e-06, 7.15069e-24, 9.60935e-18
4.22334e-06, 5.11631e-06, 4.66982e-06, 1.52945e-23, 1.71277e-17
5.11631e-06, 6.18787e-06, 5.65209e-06, 3.25368e-23, 3.03639e-17
6.18787e-06, 7.47374e-06, 6.83080e-06, 6.89112e-23, 5.35910e-17
7.47374e-06, 9.01679e-06, 8.24526e-06, 1.45420e-22, 9.42420e-17
9.01679e-06, 1.08684e-05, 9.94261e-06, 3.05954e-22, 1.65233e-16
1.08684e-05, 1.30904e-05, 1.19794e-05, 6.42116e-22, 2.88983e-16
1.30904e-05, 1.57568e-05, 1.44236e-05, 1.34488e-21, 5.04383e-16
1.57568e-05, 1.89565e-05, 1.73566e-05, 2.81201e-21, 8.78846e-16
1.89565e-05, 2.27961e-05, 2.08763e-05, 5.87139e-21, 1.52917e-15
2.27961e-05, 2.74036e-05, 2.50998e-05, 1.22450e-20, 2.65762e-15
2.74036e-05, 3.29326e-05, 3.01681e-05, 2.55128e-20, 4.61435e-15
3.29326e-05, 3.95674e-05, 3.62500e-05, 5.31139e-20, 8.00533e-15
3.95674e-05, 4.75292e-05, 4.35483e-05, 1.10501e-19, 1.38790e-14
4.75292e-05, 5.70833e-05, 5.23063e-05, 2.29766e-19, 2.40489e-14
5.70833e-05, 6.85483e-05, 6.28158e-05, 4.77533e-19, 4.16515e-14
6.85483e-05, 8.23063e-05, 7.54273e-05, 9.92093e-19, 7.21105e-14
8.23063e-05, 9.88158e-05, 9.05610e-05, 2.06045e-18, 1.24803e-13
9.88158e-05, 1.18627e-04, 1.08722e-04, 4.27814e-18, 2.15943e-13
1.18627e-04, 1.42401e-04, 1.30514e-04, 8.88075e-18, 3.73553e-13
1.42401e-04, 1.70930e-04, 1.56665e-04, 1.84316e-17, 6.46076e-13
