# time = 1.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 6.50155e-30, 1.34611e-22
4.82987e-08, 1.06257e-07, 7.72779e-08, 1.00905e-28, 1.74099e-21
1.06257e-07, 1.75807e-07, 1.41032e-07, 5.44365e-28, 7.82694e-21
1.75807e-07, 2.59267e-07, 2.17537e-07, 2.04638e-27, 2.45192e-20
2.59267e-07, 3.59420e-07, 3.09343e-07, 6.40626e-27, 6.39652e-20
3.59420e-07, 4.79602e-07, 4.19511e-07, 1.79608e-26, 1.49446e-19
4.79602e-07, 6.23821e-07, 5.51712e-07, 4.68070e-26, 3.24555e-19
6.23821e-07, 7.96884e-07, 7.10353e-07, 1.15875e-25, 6.69552e-19
7.96884e-07, 1.00456e-06, 9.00722e-07, 2.76275e-25, 1.33032e-18
1.00456e-06, 1.25377e-06, 1.12917e-06, 6.40328e-25, 2.56942e-18
1.25377e-06, 1.55282e-06, 1.40330e-06, 1.45214e-24, 4.85581e-18
1.55282e-06, 1.91169e-06, 1.73225e-06, 3.23763e-24, 9.02190e-18
1.91169e-06, 2.34232e-06, 2.12700e-06, 7.12194e-24, 1.65382e-17
2.34232e-06, 2.85909e-06, 2.60070e-06, 1.54988e-23, 2.99920e-17
2.85909e-06, 3.47920e-06, 3.16914e-06, 3.34375e-23, 5.39214e-17
3.47920e-06, 4.22334e-06, 3.85127e-06, 7.16346e-23, 9.62651e-17
4.22334e-06, 5.11631e-06, 4.66982e-06, 1.52591e-22, 1.70881e-16
5.11631e-06, 6.18787e-06, 5.65209e-06, 3.23523e-22, 3.01917e-16
6.18787e-06, 7.47374e-06, 6.83080e-06, 6.83306e-22, 5.31395e-16
7.47374e-06, 9.01679e-06, 8.24526e-06, 1.43865e-21, 9.32346e-16
9.01679e-06, 1.08684e-05, 9.94261e-06, 3.02111e-21, 1.63157e-15
1.08684e-05, 1.30904e-05, 1.19794e-05, 6.33061e-21, 2.84907e-15
1.30904e-05, 1.57568e-05, 1.44236e-05, 1.32419e-20, 4.96626e-15
1.57568e-05, 1.89565e-05, 1.73566e-05, 2.76579e-20, 8.64400e-15
1.89565e-05, 2.27961e-05, 2.08763e-05, 5.76974e-20, 1.50269e-14
2.27961e-05, 2.74036e-05, 2.50998e-05, 1.20241e-19, 2.60968e-14
2.74036e-05, 3.29326e-05, 3.01681e-05, 2.50371e-19, 4.52832e-14
3.29326e-05, 3.95674e-05, 3.62500e-05, 5.20970e-19, 7.85206e-14
3.95674e-05, 4.75292e-05, 4.35483e-05, 1.08340e-18, 1.36075e-13
4.75292e-05, 5.70833e-05, 5.23063e-05, 2.25192e-18, 2.35701e-13
5.70833e-05, 6.85483e-05, 6.28158e-05, 4.67889e-18, 4.08103e-13
6.85483e-05, 8.23063e-05, 7.54273e-05, 9.71821e-18, 7.06370e-13
8.23063e-05, 9.88158e-05, 9.05610e-05, 2.01794e-17, 1.22229e-12
9.88158e-05, 1.18627e-04, 1.08722e-04, 4.18918e-17, 2.11452e-12
1.18627e-04, 1.42401e-04, 1.30514e-04, 8.69488e-17, 3.65735e-12
1.42401e-04, 1.70930e-04, 1.56665e-04, 1.80438e-16, 6.32483e-12
1.70930e-04, 2.05164e-04, 1.88047e-04, 3.74396e-16, 1.09363e-11
2.05164e-04, 2.46245e-04, 2.25704e-04, 7.76756e-16, 1.89079e-11
2.46245e-04, 2.95542e-04, 2.70893e-04, 1.61137e-15, 3.26868e-11
2.95542e-04, 3.54699e-04, 3.25120e-04, 3.34248e-15, 5.65021e-11
3.54699e-04, 4.25687e-04, 3.90193e-04, 6.93282e-15, 9.76618e-11
4.25687e-04, 5.10872e-04, 4.68280e-04, 1.43788e-14, 1.68794e-10
5.10872e-04, 6.13095e-04, 5.61984e-04, 2.98203e-14, 2.91719e-10
6.13095e-04, 7.35763e-04, 6.74429e-04, 6.18412e-14, 5.04138e-10
7.35763e-04, 8.82963e-04, 8.09363e-04, 1.28240e-13, 8.71188e-10
8.82963e-04, 1.05960e-03, 9.71284e-04, 2.65917e-13, 1.50541e-09
1.05960e-03, 1.27157e-03, 1.16559e-03, 5.51376e-13, 2.60121e-09
1.27157e-03, 1.52594e-03, 1.39876e-03, 1.14322e-12, 4.49443e-09
1.52594e-03, 1.83117e-03, 1.67855e-03, 2.37021e-12, 7.76517e-09
1.83117e-03, 2.19745e-03, 2.01431e-03, 4.91381e-12, 1.34153e-08
2.19745e-03, 2.63699e-03, 2.41722e-03, 1.01864e-11, 2.31752e-08
2.63699e-03, 3.16444e-03, 2.90072e-03, 2.11151e-11, 4.00326e-08
3.16444e-03, 3.79738e-03, 3.48091e-03, 4.37650e-11, 6.91459e-08
3.79738e-03, 4.55690e-03, 4.17714e-03, 9.07019e-11, 1.19419e-07
4.55690e-03, 5.46833e-03, 5.01262e-03, 1.87955e-10, 2.06220e-07
5.46833e-03, 6.56204e-03, 6.01519e-03, 3.89430e-10, 3.56062e-07
6.56204e-03, 7.87450e-03, 7.21827e-03, 8.06738e-10, 6.14678e-07
7.87450e-03, 9.44945e-03, 8.66198e-03, 1.67089e-09, 1.06092e-06
9.44945e-03, 1.13394e-02, 1.03944e-02, 3.45987e-09, 1.83068e-06
1.13394e-02, 1.36073e-02, 1.24734e-02, 7.16222e-09, 3.15805e-06
1.36073e-02, 1.63288e-02, 1.49681e-02, 1.48213e-08, 5.44597e-06
1.63288e-02, 1.95946e-02, 1.79617e-02, 3.06581e-08, 9.38757e-06
1.95946e-02, 2.35136e-02, 2.15541e-02, 6.33855e-08, 1.61740e-05
2.35136e-02, 2.82164e-02, 2.58650e-02, 1.30972e-07, 2.78500e-05
2.82164e-02, 3.38597e-02, 3.10381e-02, 2.70433e-07, 4.79208e-05
3.38597e-02, 4.06317e-02, 3.72457e-02, 5.57919e-07, 8.23863e-05
4.06317e-02, 4.87581e-02, 4.46949e-02, 1.14985e-06, 1.41496e-04
4.87581e-02, 5.85098e-02, 5.36339e-02, 2.36689e-06, 2.42717e-04
5.85098e-02, 7.02118e-02, 6.43608e-02, 4.86498e-06, 4.15739e-04
7.02118e-02, 8.42542e-02, 7.72330e-02, 9.98203e-06, 7.10850e-04
8.42542e-02, 1.01105e-01, 9.26796e-02, 2.04382e-05, 1.21289e-03
1.01105e-01, 1.21326e-01, 1.11216e-01, 4.17415e-05, 2.06426e-03
1.21326e-01, 1.45591e-01, 1.33459e-01, 8.49923e-05, 3.50263e-03
1.45591e-01, 1.74710e-01, 1.60151e-01, 1.72431e-04, 5.92173e-03
1.74710e-01, 2.09652e-01, 1.92181e-01, 3.48307e-04, 9.96816e-03
2.09652e-01, 2.51582e-01, 2.30617e-01, 6.99922e-04, 1.66925e-02
2.51582e-01, 3.01899e-01, 2.76740e-01, 1.39775e-03, 2.77792e-02
3.01899e-01, 3.62278e-01, 3.32088e-01, 2.77059e-03, 4.58861e-02
3.62278e-01, 4.34734e-01, 3.98506e-01, 5.44306e-03, 7.51226e-02
4.34734e-01, 5.21681e-01, 4.78207e-01, 1.05800e-02, 1.21684e-01
5.21681e-01, 6.26017e-01, 5.73849e-01, 2.03052e-02, 1.94613e-01
6.26017e-01, 7.51221e-01, 6.88619e-01, 3.83832e-02, 3.06567e-01
7.51221e-01, 9.01465e-01, 8.26343e-01, 7.12575e-02, 4.74278e-01
9.01465e-01, 1.08176e+00, 9.91611e-01, 1.29477e-01, 7.18150e-01
