# time = 6.900000000000001e-01# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 6.97670e-30, 1.44449e-22
4.82987e-08, 1.06257e-07, 7.72779e-08, 1.21306e-28, 2.09299e-21
1.06257e-07, 1.75807e-07, 1.41032e-07, 7.01179e-28, 1.00816e-20
1.75807e-07, 2.59267e-07, 2.17537e-07, 2.74647e-27, 3.29076e-20
2.59267e-07, 3.59420e-07, 3.09343e-07, 8.83268e-27, 8.81926e-20
3.59420e-07, 4.79602e-07, 4.19511e-07, 2.52334e-26, 2.09959e-19
4.79602e-07, 6.23821e-07, 5.51712e-07, 6.66655e-26, 4.62252e-19
6.23821e-07, 7.96884e-07, 7.10353e-07, 1.66737e-25, 9.63449e-19
7.96884e-07, 1.00456e-06, 9.00722e-07, 4.00683e-25, 1.92937e-18
1.00456e-06, 1.25377e-06, 1.12917e-06, 9.34381e-25, 3.74936e-18
1.25377e-06, 1.55282e-06, 1.40330e-06, 2.12928e-24, 7.12008e-18
1.55282e-06, 1.91169e-06, 1.73225e-06, 4.76571e-24, 1.32800e-17
1.91169e-06, 2.34232e-06, 2.12700e-06, 1.05159e-23, 2.44195e-17
2.34232e-06, 2.85909e-06, 2.60070e-06, 2.29424e-23, 4.43964e-17
2.85909e-06, 3.47920e-06, 3.16914e-06, 4.95980e-23, 7.99818e-17
3.47920e-06, 4.22334e-06, 3.85127e-06, 1.06433e-22, 1.43029e-16
4.22334e-06, 5.11631e-06, 4.66982e-06, 2.27028e-22, 2.54240e-16
5.11631e-06, 6.18787e-06, 5.65209e-06, 4.81886e-22, 4.49705e-16
6.18787e-06, 7.47374e-06, 6.83080e-06, 1.01873e-21, 7.92247e-16
7.47374e-06, 9.01679e-06, 8.24526e-06, 2.14650e-21, 1.39108e-15
9.01679e-06, 1.08684e-05, 9.94261e-06, 4.51043e-21, 2.43589e-15
1.08684e-05, 1.30904e-05, 1.19794e-05, 9.45637e-21, 4.25582e-15
1.30904e-05, 1.57568e-05, 1.44236e-05, 1.97888e-20, 7.42159e-15
1.57568e-05, 1.89565e-05, 1.73566e-05, 4.13470e-20, 1.29223e-14
