# start, end, pivot, particles, density
0.00000e+00, 4.82987e-08, 2.41493e-08, 8.16268e-30, 1.69004e-22
4.82987e-08, 1.06257e-07, 7.72779e-08, 1.83053e-28, 3.15835e-21
1.06257e-07, 1.75807e-07, 1.41032e-07, 1.24176e-27, 1.78542e-20
1.75807e-07, 2.59267e-07, 2.17537e-07, 5.34473e-27, 6.40393e-20
2.59267e-07, 3.59420e-07, 3.09343e-07, 1.82544e-26, 1.82267e-19
3.59420e-07, 4.79602e-07, 4.19511e-07, 5.43304e-26, 4.52066e-19
4.79602e-07, 6.23821e-07, 5.51712e-07, 1.47797e-25, 1.02481e-18
6.23821e-07, 7.96884e-07, 7.10353e-07, 3.77724e-25, 2.18258e-18
7.96884e-07, 1.00456e-06, 9.00722e-07, 9.22661e-25, 4.44280e-18
1.00456e-06, 1.25377e-06, 1.12917e-06, 2.17895e-24, 8.74339e-18
1.25377e-06, 1.55282e-06, 1.40330e-06, 5.01476e-24, 1.67688e-17
1.55282e-06, 1.91169e-06, 1.73225e-06, 1.13123e-23, 3.15225e-17
1.91169e-06, 2.34232e-06, 2.12700e-06, 2.51185e-23, 5.83289e-17
2.34232e-06, 2.85909e-06, 2.60070e-06, 5.50783e-23, 1.06583e-16
2.85909e-06, 3.47920e-06, 3.16914e-06, 1.19560e-22, 1.92803e-16
3.47920e-06, 4.22334e-06, 3.85127e-06, 2.57425e-22, 3.45937e-16
4.22334e-06, 5.11631e-06, 4.66982e-06, 5.50602e-22, 6.16599e-16
5.11631e-06, 6.18787e-06, 5.65209e-06, 1.17132e-21, 1.09310e-15
6.18787e-06, 7.47374e-06, 6.83080e-06, 2.48080e-21, 1.92928e-15
7.47374e-06, 9.01679e-06, 8.24526e-06, 5.23512e-21, 3.39271e-15
9.01679e-06, 1.08684e-05, 9.94261e-06, 1.10143e-20, 5.94837e-15
1.08684e-05, 1.30904e-05, 1.19794e-05, 2.31162e-20, 1.04034e-14
1.30904e-05, 1.57568e-05, 1.44236e-05, 4.84156e-20, 1.81578e-14
1.57568e-05, 1.89565e-05, 1.73566e-05, 1.01232e-19, 3.16385e-14
1.89565e-05, 2.27961e-05, 2.08763e-05, 2.11370e-19, 5.50501e-14
2.27961e-05, 2.74036e-05, 2.50998e-05, 4.40821e-19, 9.56744e-14
2.74036e-05, 3.29326e-05, 3.01681e-05, 9.18462e-19, 1.66117e-13
3.29326e-05, 3.95674e-05, 3.62500e-05, 1.91210e-18, 2.88192e-13
3.95674e-05, 4.75292e-05, 4.35483e-05, 3.97805e-18, 4.99643e-13
4.75292e-05, 5.70833e-05, 5.23063e-05, 8.27158e-18, 8.65759e-13
5.70833e-05, 6.85483e-05, 6.28158e-05, 1.71912e-17, 1.49945e-12
6.85483e-05, 8.23063e-05, 7.54273e-05, 3.57154e-17, 2.59598e-12
8.23063e-05, 9.88158e-05, 9.05610e-05, 7.41762e-17, 4.49293e-12
9.88158e-05, 1.18627e-04, 1.08722e-04, 1.54013e-16, 7.77393e-12
1.18627e-04, 1.42401e-04, 1.30514e-04, 3.19707e-16, 1.34479e-11
1.42401e-04, 1.70930e-04, 1.56665e-04, 6.63537e-16, 2.32588e-11
1.70930e-04, 2.05164e-04, 1.88047e-04, 1.37692e-15, 4.02207e-11
2.05164e-04, 2.46245e-04, 2.25704e-04, 2.85690e-15, 6.95431e-11
2.46245e-04, 2.95542e-04, 2.70893e-04, 5.92695e-15, 1.20229e-10
2.95542e-04, 3.54699e-04, 3.25120e-04, 1.22949e-14, 2.07836e-10
3.54699e-04, 4.25687e-04, 3.90193e-04, 2.55025e-14, 3.59250e-10
4.25687e-04, 5.10872e-04, 4.68280e-04, 5.28940e-14, 6.20926e-10
5.10872e-04, 6.13095e-04, 5.61984e-04, 1.09699e-13, 1.07313e-09
6.13095e-04, 7.35763e-04, 6.74429e-04, 2.27494e-13, 1.85456e-09
7.35763e-04, 8.82963e-04, 8.09363e-04, 4.71752e-13, 3.20482e-09
8.82963e-04, 1.05960e-03, 9.71284e-04, 9.78210e-13, 5.53784e-09
1.05960e-03, 1.27157e-03, 1.16559e-03, 2.02827e-12, 9.56870e-09
1.27157e-03, 1.52594e-03, 1.39876e-03, 4.20527e-12, 1.65325e-08
1.52594e-03, 1.83117e-03, 1.67855e-03, 8.71833e-12, 2.85626e-08
1.83117e-03, 2.19745e-03, 2.01431e-03, 1.80735e-11, 4.93430e-08
2.19745e-03, 2.63699e-03, 2.41722e-03, 3.74642e-11, 8.52352e-08
2.63699e-03, 3.16444e-03, 2.90072e-03, 7.76518e-11, 1.47222e-07
3.16444e-03, 3.79738e-03, 3.48091e-03, 1.60931e-10, 2.54261e-07
3.79738e-03, 4.55690e-03, 4.17714e-03, 3.33484e-10, 4.39070e-07
4.55690e-03, 5.46833e-03, 5.01262e-03, 6.90951e-10, 7.58097e-07
5.46833e-03, 6.56204e-03, 6.01519e-03, 1.43134e-09, 1.30870e-06
6.56204e-03, 7.87450e-03, 7.21827e-03, 2.96449e-09, 2.25874e-06
7.87450e-03, 9.44945e-03, 8.66198e-03, 6.13834e-09, 3.89748e-06
9.44945e-03, 1.13394e-02, 1.03944e-02, 1.27064e-08, 6.72319e-06
1.13394e-02, 1.36073e-02, 1.24734e-02, 2.62932e-08, 1.15935e-05
1.36073e-02, 1.63288e-02, 1.49681e-02, 5.43851e-08, 1.99834e-05
1.63288e-02, 1.95946e-02, 1.79617e-02, 1.12434e-07, 3.44275e-05
1.95946e-02, 2.35136e-02, 2.15541e-02, 2.32302e-07, 5.92761e-05
2.35136e-02, 2.82164e-02, 2.58650e-02, 4.79615e-07, 1.01986e-04
2.82164e-02, 3.38597e-02, 3.10381e-02, 9.89360e-07, 1.75315e-04
3.38597e-02, 4.06317e-02, 3.72457e-02, 2.03875e-06, 3.01056e-04
4.06317e-02, 4.87581e-02, 4.46949e-02, 4.19593e-06, 5.16334e-04
4.87581e-02, 5.85098e-02, 5.36339e-02, 8.62265e-06, 8.84224e-04
5.85098e-02, 7.02118e-02, 6.43608e-02, 1.76877e-05, 1.51151e-03
7.02118e-02, 8.42542e-02, 7.72330e-02, 3.62044e-05, 2.57822e-03
8.42542e-02, 1.01105e-01, 9.26796e-02, 7.39137e-05, 4.38634e-03
1.01105e-01, 1.21326e-01, 1.11216e-01, 1.50431e-04, 7.43931e-03
1.21326e-01, 1.45591e-01, 1.33459e-01, 3.05018e-04, 1.25702e-02
1.45591e-01, 1.74710e-01, 1.60151e-01, 6.15699e-04, 2.11447e-02
1.74710e-01, 2.09652e-01, 1.92181e-01, 1.23616e-03, 3.53776e-02
2.09652e-01, 2.51582e-01, 2.30617e-01, 2.46593e-03, 5.88101e-02
2.51582e-01, 3.01899e-01, 2.76740e-01, 4.88118e-03, 9.70095e-02
3.01899e-01, 3.62278e-01, 3.32088e-01, 9.57271e-03, 1.58542e-01
3.62278e-01, 4.34734e-01, 3.98506e-01, 1.85655e-02, 2.56232e-01
4.34734e-01, 5.21681e-01, 4.78207e-01, 3.55283e-02, 4.08621e-01
5.21681e-01, 6.26017e-01, 5.73849e-01, 6.69086e-02, 6.41278e-01
6.26017e-01, 7.51221e-01, 6.88619e-01, 1.23606e-01, 9.87240e-01
7.51221e-01, 9.01465e-01, 8.26343e-01, 2.23143e-01, 1.48520e+00
9.01465e-01, 1.08176e+00, 9.91611e-01, 3.91851e-01, 2.17341e+00
1.08176e+00, 1.29811e+00, 1.18993e+00, 6.65678e-01, 3.07683e+00
1.29811e+00, 1.55773e+00, 1.42792e+00, 1.08681e+00, 4.18611e+00
1.55773e+00, 1.86928e+00, 1.71350e+00, 1.69185e+00, 5.43049e+00
1.86928e+00, 2.24313e+00, 2.05621e+00, 2.48769e+00, 6.65415e+00
2.24313e+00, 2.69176e+00, 2.46745e+00, 3.41631e+00, 7.61504e+00
2.69176e+00, 3.23011e+00, 2.96094e+00, 4.32306e+00, 8.03018e+00
3.23011e+00, 3.87613e+00, 3.55312e+00, 4.96033e+00, 7.67827e+00
3.87613e+00, 4.65136e+00, 4.26375e+00, 5.06268e+00, 6.53058e+00
4.65136e+00, 5.58163e+00, 5.11650e+00, 4.49233e+00, 4.82905e+00
5.58163e+00, 6.69796e+00, 6.13980e+00, 3.37266e+00, 3.02121e+00
6.69796e+00, 8.03755e+00, 7.36776e+00, 2.07419e+00, 1.54837e+00
8.03755e+00, 9.64506e+00, 8.84131e+00, 1.00566e+00, 6.25600e-01
9.64506e+00, 1.15741e+01, 1.06096e+01, 3.67329e-01, 1.90423e-01
1.15741e+01, 1.38889e+01, 1.27315e+01, 9.57873e-02, 4.13801e-02
1.38889e+01, 1.66667e+01, 1.52778e+01, 1.67319e-02, 6.02347e-03
1.66667e+01, 2.00000e+01, 1.83333e+01, 1.08944e-04, 3.26833e-05
